,speaker,line
131,Pam,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.
132,Michael,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.
133,Michael," You been X'd punk!  Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you."
134,Michael,I don't know about that.
135,Michael,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, ""Mr. Scott, would you be the godfather of my child?"" Wow. Wow. Didn't work out in the end. We had to let him go. He sucked."
136,Pam,Good. I thought you were going out for a drink with...
137,Jim,"Oh no, I just decided not to. How's your headache?"
138,Jim,Am I walking out?
139,Jim,"Yes, I... Do you want to..."
140,Jim,Great. Let me just...
141,Pam,"Yeah. Listen, have a nice weekend."
142,Jim,"Yeah, definitely. You too. Enjoy it.  You know what, just come here."
143,Michael,"Hey, uh, can I help you out in here?"
144,Michael,Gotcha. Good. I'd go with the rows. That's a good idea.
145,Michael,"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited."
146,Jim,"That's the thing. It's very sturdy paper and on the back it says, ""100% post-consumer content."" What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you.  Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second."
147,Jim,Do you really have to do that right now?
148,Dwight,Yes I do. I should have done it weeks ago actually.
149,Jim,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks.  Hello? That's it. Perfect. So what I was saying...  Hello? Thanks, Dwight."
150,Dwight,Retaliation. Tit for tit.
151,Jim,That is not the expression.
152,Dwight,"Well, it should be."
153,Jim,"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?"
154,Pam,I know. I saw that.
155,Jim,"So then, why didn't you do it?"
156,Pam,I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.
157,Jim,Who doesn't love that?
158,Michael,"Hey, Oscar! How are you doing, man?"
159,Michael,Did you have a good weekend going there?
160,Michael,"Oh yeah, I bet it was fun.  Oh, hey! This is Oscar---"
161,Michael,"Right. See? I don't even know, first-name basis!"
162,Michael,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?"
163,Jim,"Yeah, uh, Mr. Decker, please."
164,Michael,"It's diversity day, Jim. I wish every day was diversity day."
165,Jim,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.
166,Michael,"Come on people, let's get 'em in. Get in the cards! Get in the cards!"
167,Michael,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race."
168,Michael,Celebrate good times. Come on! Let's celebrate diversity. Right?
169,Michael,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.
170,Dwight,I have two. White and Indian.
171,Dwight,A few of the ground rules?
172,Michael,"Hey, hey why don't you run it by me and I'll run it by him."
173,Dwight,"OK, can we steer away from gay people?"
174,Dwight,"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox."
175,Dwight,I figured it would save time.
176,Michael,OK. Why don't we just defer to Mr...
177,Michael,"Ah. Oh, right! OK. First test. I will not call you that."
178,Michael,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?"
179,Michael,I will play the Chris Rock guy. I would like to see someone else pull this off.
180,Michael,"OK, I will play guy listening."
181,Michael,Kevin is a great guy. He's a great accountant. He is not much of an entertainer.
182,Kevin,"Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess."
183,Michael,"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me...  Every time... Every time black people want to have a good time, some ignant ass...  I take care of my kid!"
184,Michael, They always want credit for something they supPOSED to do!
185,Michael, What you want a cookie?
186,Dwight,"Excuse me, I'm sorry, but that's not all it takes to be a hero."
187,Dwight,"A hero kills people, people that wish him harm."
188,Dwight,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged."
189,Dwight,We all have a hero in our heart.
190,Michael, I don't think I can sign this.
191,Michael,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?"
192,Michael,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit."
193,Michael,"OK, well I know. You told me that several times."
194,Michael,"Well, here I am thinking that you actually cared about diversity training. And you don't."
195,Michael,"""I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness..."" Open-mindedness, is that even a word? ""...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.""  He's going to lose it when he reads that."
196,Jim,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you."
197,Michael,"""I pledge to always keep an open mind and an open heart."" I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, ""Mr. Brown,"" he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears."
198,Michael,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.
199,Michael,"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape."
200,Michael," Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, ""If you're a racist, I will attack you with the North."" And those are the principles that I carry with me in the workplace."
201,Michael,OK. Questions? Comments? Anybody? Jim?
202,Jim,": Uh, is that it?"
203,Michael,Yes. I only had an hour to put it together but I'm going to add on to it later on.
204,Kevin,It was kind of hard to hear.
205,Michael,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um..."
206,Michael,"Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian."
207,Oscar,What part Native American?
208,Oscar,"Two fifteenths, that fraction doesn't make any sense."
209,Michael,"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on."
210,Oscar,"OK, Michael, um... Both my parents were born in Mexico."
211,Oscar,"And, uh, they moved to the United Sates a year before I was born. So I grew up in the United States."
212,Oscar,My parents were Mexican.
213,Michael,"Wow. That is... That is a great story. That's the American Dream right there, right?"
214,Michael,"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?"
215,Michael,"Well, it has certain connotations."
216,Michael,Like... I don't... I don't know.
217,Oscar,"What connotations, Michael? You meant something."
218,Michael,"No. Now, remember that honesty..."
219,Michael,"...empathy, respect...  Jim! Jim!"
220,Michael,"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done."
221,Michael,Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...
222,Michael,Oh this is a good one.
223,Pam,"Um, hi. How are you?"
224,Michael,Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.
225,Michael,"No, that was inadvertent. We didn't actually plan that."
226,Dwight,"Lots of cultures eat rice, doesn't help me."
227,Dwight,Um... Shalom. I'd like to apply for a loan.
228,Dwight,"OK, do me. Something stereotypical so I can get it really quick."
229,Pam,"OK, I like your food."
230,Dwight,"Outback steakhouse.  I'm Australian, mate!"
231,Michael,"Pam, come on. ""I like your food."" Come on stir the pot. Stir the melting pot, Pam! Let's do it. Let's get ugly. Let's get real."
232,Pam,"OK. If I have to do this, based on stereotypes that are totally untrue, that I do not agree with, you would maybe not be a very good driver."
233,Dwight,"Oh, man, am I a woman?"
234,Michael,"You'll notice I didn't have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. ""Too soon for Arabs."" Maybe next year. Um... You know, the ball's in their court."
235,Jim,What are you watching?
236,Ryan,I downloaded it on her computer. I hope she doesn't mind. She just had a lot of extra space.
237,Jim,No way. I think she likes this stuff.
238,Ryan,"Great. She's cute, huh?"
239,Jim,"Yeah, you know, she's engaged, but..."
240,Ryan,"Oh, no, the girl in the... sketch."
241,Jim,"Oh, yeah. She's hot."
242,Kevin,You wanna go to the beach?
243,Kevin,You wanna get high?
244,Kevin,"I think you do, mon."
245,Michael,OK. All right. No. It's good. You just need to push it. You need to go a little bit further. All right. OK.
246,Michael," Kelly, how are you?"
247,Michael,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi.  Try my googi, googi.  Try my googi, googi. Try my... "
248,Michael," All right! All right! Yes! That was great, she gets it! Now she knows what it's like to be a minority."
249,Jim," Mr. Decker, we didn't lose your sale today, did we? Excellent. OK. Let me just get your... what's that? No, we didn't close last time. I just need your... Oh. W-What code were you given? Oh, OK. That's actually another salesman here. I can redo it if you want to do that. Oh, he gave you a discount? No, I don't blame you."
250,Michael,"I just hated it when that guy was in here. Mr. Brown, if that was his real name. I mean, he had never met any of us before, and here he was telling us how to do our thing. I just wanted... I just wanted to do it our way. You know? On our own. Man I should have gotten some food."
251,Michael,"Okay, Kevin. You can take that off that thing, OK? That would really, really have shown him up, wouldn't it? If I'd brought in some burritos or some colored greens. Or some pad Thai. I love pad Thai."
252,Michael,"That doesn't really make sense. Because you don't call them collared people, that's offensive. Hmmm... OK, well, it's after five. So... Thank you very much. Buena vista Oscar. Thank you. Good job. Oh, my man. Thank you Brazil. Nice."
253,Jim,Uh... Not a bad day.
254,Michael,Pam. Pamela. Pam-elama-ding-dong. Making copies.
255,Pam,I'm not making any copies.
256,Michael,"Let's go. Messages. Stat. Lots to do, lots to do. Information superhighway."
257,Michael,Lay them on me. What?
258,Michael,That's not what you said earlier.
259,Pam,"Oh, do you want me to repeat the messages that I gave you before for the... "
260,Michael,"The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? That's what this is all about. Does that make me their doctor? Um... Yes, in a way. Yeah, like a specialist."
261,Michael,"I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works."
262,Michael,I think it was you who didn't look closely enough at the Gold Plan.
263,Michael,"Well, I'd recommend it. It's very good."
264,Michael,You gotta crack these things open.
265,Michael,"Well, that is kind of a tough assignment. Um... It won't be popular decision around the old orifice."
266,Michael,"Well, it's a suicide mission, you know."
267,Michael, When have you ever done that?
268,Jim,"Last night on Trading Spouses, there's... have you seen it?"
269,Pam,No. I have a life.
270,Jim,"Interesting, what's that like?"
271,Pam,You should try it sometime.
272,Jim,Wow. But then who would watch my TV? That is...
273,Michael,Jimbo! Ha haaaaa. Ah.
274,Michael,"There's a decision that needs to be made, and I'm having an unbelievably a busy day. So I'm going to let you pick a health care plan for our office and then explain it to your co-workers."
275,Jim,That is a great offer. Thank you. I really think I should be concentrating on sales.
276,Jim,"Yeah. I just don't think this is the kind of task, that I... am going to do. You know who would be great for this?"
277,Jim,"Any time Michael asks me to do anything, I just tell him that Dwight should do it."
278,Dwight,Yes. I can do it. I'm your man.
279,Jim,"Right now, this is just a job. If I advance any higher in this company then this would be my career. And uh, well, if this were my career, I'd have to throw myself in front of a train."
280,Dwight,"OK, first, let's go over some parameters. How many people can I fire?"
281,Michael,"Ah, none. You're picking a health care plan."
282,Dwight,"OK, we'll table that for the time being. Two, I'll need an office. I think the conference room should be fine."
283,Michael,You can use the conference room as a temporary workspace.
284,Dwight," Yes, I have an office.  Bigger than his."
285,Michael,"Nope, you cannot use it."
286,Dwight,"OK, I take it back, it's a workspace."
287,Michael,Temporary workspace. You can use it.
288,Michael,"If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and we've talked about that already."
289,Dwight,What did I do? I did my job. I slashed benefits to the bone. I saved this company money. Was I too harsh? Maybe. I don't believe in coddling people.
290,Dwight,"In the wild, there is no health care. In the wild, health care is, ""Ow, I hurt my leg. I can't run. A lion eats me and I'm dead."" Well, I'm not dead. I'm the lion. You're dead."
291,Pam,"Dunder Mifflin, this is Pam."
292,Michael," Pam, Michael Scott. How's tricks?"
293,Michael,"Oh, I am in my office. I am swamped. I have work up to my ears I'm busy, busy, busy. Can't step away. I just wanted to check in and see how everybody's doing. Everybody cool out there?"
294,Pam,"Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out 'cause the..."
295,Michael,"Pam! Whoa, whoa, I'm sorry, I'm sorry, I, I, I, I gotta go. I'm getting a call."
296,Michael,"I have to make a call after I finish... my work. You know what? Uh, just don't let anybody in my office under any conditions today. I'm just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?"
297,Michael,"Thank you, Oh, gah, here we go again. Gotta go, I have to take this."
298,Pam,Still no one calling.
299,Dwight,"Uh, knock, please. Please knock. This is an office."
300,Jim,"If it's the same thing, then why did you write ""workspace""?"
301,Dwight,"Just knock, Please? As a sign of respect for your superior."
302,Jim,You are not my superior.
303,Dwight,"Oh gee, then why do I have an office?"
304,Jim,I thought it was a workspace?
305,Pam,OK. Dwight. Are you really in charge of picking the health care plan?
306,Dwight,Yes. And my decision in final.
307,Pam,This is a ridiculously awful plan. Because you cut everything.
308,Dwight,"Aww, times are tough, Pam. Deal with it."
309,Jim,"You cut more than you had to, didn't you?"
310,Jim,"Well, why did you do that? You work here, don't you want good insurance?"
311,Dwight,Don't need it. Never been sick. Perfect immune system.
312,Jim,"OK, well, if you've never been sick, then you don't have any antibodies."
313,Dwight,"I don't need them. Superior genes. I'm a Schrute. And superior brain power. Through concentration, I can raise and lower my cholesterol at will."
314,Pam,Why would you want to raise your cholesterol?
315,Dwight,So I can lower it.
316,Oscar,He literally won't come out of his office.
317,Kevin,He's got to come out sometime. To go to the bathroom.
318,Oscar,"Michael, can I talk to you?"
319,Michael,"Ah, uh, I would love to, but I am really busy. Rain check?"
320,Michael,"Ah, what? Which memo?"
321,Pam,Dwight's health care memo. I told you about it.
322,Michael,Is it a good plan?
323,Dwight,It's a great plan. It saves the company a fortune.
324,Oscar,It's like a pay decrease.
325,Pam,"Michael, he made huge cuts."
326,Michael,"Cuts? What? Wow, Dwight, did you make cuts?"
327,Michael,"No, no , no, you know what? I said nothing specific because I was so busy. Why don't you go in there and find these people a plan that will work for them? OK?"
328,Dwight,I can handle that.
329,Michael,"OK? All right. Do we feel good? All right. Good. Plus, there's some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?"
330,Oscar,This is not good.
331,Angela,It's ridiculous. Did you talk to him?
332,Angela,You let him walk all over you. It's just pathetic.
333,Kevin,What are you guys talking about?
334,Dwight,"OK, everyone. Gather round. Step forward. It has been brought to my attention that some of you are unhappy with my plan. So what I'd like you to do is to fill this out and write down any diseases you have that you might want covered and I'll see what I can do."
335,Jim,"OK, you know what Dwight? We can't write our diseases down for you because that's confidential."
336,Dwight,"OK, well, I didn't say to write your name down, did I? Fill it out, leave it anonymous. Or, don't write any disease down at all and it won't be covered. Sound fair? Good. I'll be in my office."
337,Michael,You know what? Come with me. We are going on a little mission. Operation Surprise.
338,Pam,Where are you going?
339,Michael,"Um, headed out. Part of my busy day, you know. Meetings.  Couldn't find the knob."
340,Michael,"So, basically, I want to do something nice for my employees. Atlantic City, OK? They have this thing where they send a bus, right, for free. Picks everybody up, you head down there, get to the hotel, room is comped, they give you a pile of chips, and your food, everything just kind of all-inclusive, free kind of weekend."
341,Michael,"Yeah, yeah, yeah. I did, so..."
342,Jim,Wait. What are you writing? Don't write Ebola or mad cow disease. Right? 'Cause I'm suffering from both.
343,Pam,I'm inventing new diseases.
344,Pam,"So, let's say my teeth turn to liquid and then, they drip down the back of my throat. What would you call that?"
