,speaker,line
126,Michael,"What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It's the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, ""Mr. Scott, would you be the godfather of my child?"" Wow. Wow. Didn't work out in the end. We had to let him go. He sucked."
127,Pam,Good. I thought you were going out for a drink with...
128,Jim,"Oh no, I just decided not to. How's your headache?"
129,Jim,Am I walking out?
130,Jim,"Yes, I... Do you want to..."
131,Jim,Great. Let me just...
132,Pam,"Yeah. Listen, have a nice weekend."
133,Jim,"Yeah, definitely. You too. Enjoy it.  You know what, just come here."
134,Michael,"Hey, uh, can I help you out in here?"
135,Michael,Gotcha. Good. I'd go with the rows. That's a good idea.
136,Michael,"Today is diversity day and someone's going to come in and talk to us about diversity. It's something that I've been pushing, that I've been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it's very important that we have this. I'm very, very excited."
137,Jim,"That's the thing. It's very sturdy paper and on the back it says, ""100% post-consumer content."" What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you.  Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second."
138,Jim,Do you really have to do that right now?
139,Dwight,Yes I do. I should have done it weeks ago actually.
140,Jim,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks.  Hello? That's it. Perfect. So what I was saying...  Hello? Thanks, Dwight."
141,Dwight,Retaliation. Tit for tit.
142,Jim,That is not the expression.
143,Dwight,"Well, it should be."
144,Jim,"This is my biggest sale of the year. They love me over there for some reason. I'm not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I'm pushing recycled paper on them for one percent more. I know. I'm getting cocky. Right?"
145,Pam,I know. I saw that.
146,Jim,"So then, why didn't you do it?"
147,Pam,I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.
148,Jim,Who doesn't love that?
149,Michael,"Hey, Oscar! How are you doing, man?"
150,Michael,Did you have a good weekend going there?
151,Michael,"Oh yeah, I bet it was fun.  Oh, hey! This is Oscar---"
152,Michael,"Right. See? I don't even know, first-name basis!"
153,Michael,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?"
154,Jim,"Yeah, uh, Mr. Decker, please."
155,Michael,"It's diversity day, Jim. I wish every day was diversity day."
156,Jim,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.
157,Michael,"Come on people, let's get 'em in. Get in the cards! Get in the cards!"
158,Michael,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race."
159,Michael,Celebrate good times. Come on! Let's celebrate diversity. Right?
160,Michael,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.
161,Dwight,I have two. White and Indian.
162,Dwight,A few of the ground rules?
163,Michael,"Hey, hey why don't you run it by me and I'll run it by him."
164,Dwight,"OK, can we steer away from gay people?"
165,Dwight,"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox."
166,Dwight,I figured it would save time.
167,Michael,OK. Why don't we just defer to Mr...
168,Michael,"Ah. Oh, right! OK. First test. I will not call you that."
169,Michael,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?"
170,Michael,I will play the Chris Rock guy. I would like to see someone else pull this off.
171,Michael,"OK, I will play guy listening."
172,Michael,Kevin is a great guy. He's a great accountant. He is not much of an entertainer.
173,Michael,"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me...  Every time... Every time black people want to have a good time, some ignant ass...  I take care of my kid!"
174,Michael, They always want credit for something they supPOSED to do!
175,Michael, What you want a cookie?
176,Dwight,"Excuse me, I'm sorry, but that's not all it takes to be a hero."
177,Dwight,"A hero kills people, people that wish him harm."
178,Dwight,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged."
179,Dwight,We all have a hero in our heart.
180,Michael, I don't think I can sign this.
181,Michael,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?"
182,Michael,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit."
183,Michael,"OK, well I know. You told me that several times."
184,Michael,"Well, here I am thinking that you actually cared about diversity training. And you don't."
185,Michael,"""I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness..."" Open-mindedness, is that even a word? ""...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.""  He's going to lose it when he reads that."
186,Jim,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you."
187,Michael,"""I pledge to always keep an open mind and an open heart."" I do believe... in that part of the pledge I that just read. But a pledge? Come on. I mean who are we, the Girl Scouts? No. Look... the guy, ""Mr. Brown,"" he got us halfway there. He got us talking. Well, no. I got us talking. He got us nothing. He insulted us and he abandoned us. You call that diversity training? I don't. Were there any connections between any of us? Did anyone look each other in the eye? Was there any emotion going on? No. Where was the heart? I didn't see any heart. Where was my Oprah moment? OK, get as much done as you can before lunch because, afterward, I'm going to have you all in tears."
188,Michael,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.
189,Michael,"No, this is not a joke. OK? That was offensive and lame. So double offensive. This is an environment of welcoming and you should just get the hell out of here. OK, let's go. Let's do it. Come on. Let's have some fun, everybody. Here we go. Take a seat. Cop a squat. And um... thanks for coming in. Um... Diversity... is the cornerstone of progress as I've always said. But don't take my word for it. Let's take a look at the tape."
190,Michael," Hi. I'm Michael Scott. I'm in charge of Dunder Mifflin Paper Products here in Scranton, Pennsylvania but I'm also the founder of Diversity Tomorrow, because today is almost over. Abraham Lincoln once said that, ""If you're a racist, I will attack you with the North."" And those are the principles that I carry with me in the workplace."
191,Michael,OK. Questions? Comments? Anybody? Jim?
192,Jim,": Uh, is that it?"
193,Michael,Yes. I only had an hour to put it together but I'm going to add on to it later on.
194,Michael,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um..."
195,Michael,"Yeah, well, if you leave we'll only have two left. Yes. Enjoy. Absolutely. Namaste. Ok, well since I am leading this, let's get down to business and why don't I just kind of introduce myself, OK? Um. I am Michael and I am part English, Irish, German and Scottish. Sort of a virtual United Nations. But what some of you might not know is that I am also part Native American Indian."
196,Michael,"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on."
197,Michael,"Wow. That is... That is a great story. That's the American Dream right there, right?"
198,Michael,"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?"
199,Michael,"Well, it has certain connotations."
200,Michael,Like... I don't... I don't know.
201,Michael,"No. Now, remember that honesty..."
202,Michael,"...empathy, respect...  Jim! Jim!"
203,Michael,"I have something here. I want you to take a card. Put it on your fore... Don't look at the card. I want you to take the card and put it on your forehead and... Take a card, take a card, any card. Um... And I want you to treat other people like the race that is on their forehead. OK? So everybody has a different race. Nobody knows what their race is, so... I want you to really go for it, cause this is real. You know, this isn't just an exercise. This is real life. And... I have a dream that you will really let the sparks fly. Get 'er done."
204,Michael,Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...
205,Michael,Oh this is a good one.
206,Pam,"Um, hi. How are you?"
207,Michael,Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.
208,Michael,"No, that was inadvertent. We didn't actually plan that."
209,Dwight,"Lots of cultures eat rice, doesn't help me."
210,Dwight,Um... Shalom. I'd like to apply for a loan.
211,Dwight,"OK, do me. Something stereotypical so I can get it really quick."
212,Pam,"OK, I like your food."
213,Dwight,"Outback steakhouse.  I'm Australian, mate!"
214,Michael,"Pam, come on. ""I like your food."" Come on stir the pot. Stir the melting pot, Pam! Let's do it. Let's get ugly. Let's get real."
215,Pam,"OK. If I have to do this, based on stereotypes that are totally untrue, that I do not agree with, you would maybe not be a very good driver."
216,Dwight,"Oh, man, am I a woman?"
217,Michael,"You'll notice I didn't have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. ""Too soon for Arabs."" Maybe next year. Um... You know, the ball's in their court."
218,Jim,What are you watching?
219,Jim,No way. I think she likes this stuff.
220,Jim,"Yeah, you know, she's engaged, but..."
221,Jim,"Oh, yeah. She's hot."
222,Michael,OK. All right. No. It's good. You just need to push it. You need to go a little bit further. All right. OK.
223,Michael," Kelly, how are you?"
224,Michael,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi.  Try my googi, googi.  Try my googi, googi. Try my... "
225,Michael," All right! All right! Yes! That was great, she gets it! Now she knows what it's like to be a minority."
226,Jim," Mr. Decker, we didn't lose your sale today, did we? Excellent. OK. Let me just get your... what's that? No, we didn't close last time. I just need your... Oh. W-What code were you given? Oh, OK. That's actually another salesman here. I can redo it if you want to do that. Oh, he gave you a discount? No, I don't blame you."
227,Michael,"I just hated it when that guy was in here. Mr. Brown, if that was his real name. I mean, he had never met any of us before, and here he was telling us how to do our thing. I just wanted... I just wanted to do it our way. You know? On our own. Man I should have gotten some food."
228,Michael,"Okay, Kevin. You can take that off that thing, OK? That would really, really have shown him up, wouldn't it? If I'd brought in some burritos or some colored greens. Or some pad Thai. I love pad Thai."
229,Michael,"That doesn't really make sense. Because you don't call them collared people, that's offensive. Hmmm... OK, well, it's after five. So... Thank you very much. Buena vista Oscar. Thank you. Good job. Oh, my man. Thank you Brazil. Nice."
230,Jim,Uh... Not a bad day.
231,Michael,Pam. Pamela. Pam-elama-ding-dong. Making copies.
232,Pam,I'm not making any copies.
233,Michael,"Let's go. Messages. Stat. Lots to do, lots to do. Information superhighway."
234,Michael,Lay them on me. What?
235,Michael,That's not what you said earlier.
236,Pam,"Oh, do you want me to repeat the messages that I gave you before for the... "
237,Michael,"The most sacred thing I do is care and provide for my workers, my family. I give them money. I give them food. Not directly, but through the money. I heal them. Today, I am in charge of picking a great new health care plan. Right? That's what this is all about. Does that make me their doctor? Um... Yes, in a way. Yeah, like a specialist."
238,Michael,"I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works."
239,Michael,I think it was you who didn't look closely enough at the Gold Plan.
240,Michael,"Well, I'd recommend it. It's very good."
241,Michael,You gotta crack these things open.
242,Michael,"Well, that is kind of a tough assignment. Um... It won't be popular decision around the old orifice."
243,Michael,"Well, it's a suicide mission, you know."
244,Michael, When have you ever done that?
245,Jim,"Last night on Trading Spouses, there's... have you seen it?"
246,Pam,No. I have a life.
247,Jim,"Interesting, what's that like?"
248,Pam,You should try it sometime.
249,Jim,Wow. But then who would watch my TV? That is...
250,Michael,Jimbo! Ha haaaaa. Ah.
251,Michael,"There's a decision that needs to be made, and I'm having an unbelievably a busy day. So I'm going to let you pick a health care plan for our office and then explain it to your co-workers."
252,Jim,That is a great offer. Thank you. I really think I should be concentrating on sales.
253,Jim,"Yeah. I just don't think this is the kind of task, that I... am going to do. You know who would be great for this?"
254,Jim,"Any time Michael asks me to do anything, I just tell him that Dwight should do it."
255,Dwight,Yes. I can do it. I'm your man.
256,Jim,"Right now, this is just a job. If I advance any higher in this company then this would be my career. And uh, well, if this were my career, I'd have to throw myself in front of a train."
257,Dwight,"OK, first, let's go over some parameters. How many people can I fire?"
258,Michael,"Ah, none. You're picking a health care plan."
259,Dwight,"OK, we'll table that for the time being. Two, I'll need an office. I think the conference room should be fine."
260,Michael,You can use the conference room as a temporary workspace.
261,Dwight," Yes, I have an office.  Bigger than his."
262,Michael,"Nope, you cannot use it."
263,Dwight,"OK, I take it back, it's a workspace."
264,Michael,Temporary workspace. You can use it.
265,Michael,"If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and we've talked about that already."
266,Dwight,What did I do? I did my job. I slashed benefits to the bone. I saved this company money. Was I too harsh? Maybe. I don't believe in coddling people.
267,Dwight,"In the wild, there is no health care. In the wild, health care is, ""Ow, I hurt my leg. I can't run. A lion eats me and I'm dead."" Well, I'm not dead. I'm the lion. You're dead."
268,Pam,"Dunder Mifflin, this is Pam."
269,Michael," Pam, Michael Scott. How's tricks?"
270,Michael,"Oh, I am in my office. I am swamped. I have work up to my ears I'm busy, busy, busy. Can't step away. I just wanted to check in and see how everybody's doing. Everybody cool out there?"
271,Pam,"Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out 'cause the..."
272,Michael,"Pam! Whoa, whoa, I'm sorry, I'm sorry, I, I, I, I gotta go. I'm getting a call."
273,Michael,"I have to make a call after I finish... my work. You know what? Uh, just don't let anybody in my office under any conditions today. I'm just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?"
274,Michael,"Thank you, Oh, gah, here we go again. Gotta go, I have to take this."
275,Pam,Still no one calling.
276,Dwight,"Uh, knock, please. Please knock. This is an office."
277,Jim,"If it's the same thing, then why did you write ""workspace""?"
278,Dwight,"Just knock, Please? As a sign of respect for your superior."
279,Jim,You are not my superior.
280,Dwight,"Oh gee, then why do I have an office?"
281,Jim,I thought it was a workspace?
282,Pam,OK. Dwight. Are you really in charge of picking the health care plan?
283,Dwight,Yes. And my decision in final.
284,Pam,This is a ridiculously awful plan. Because you cut everything.
285,Dwight,"Aww, times are tough, Pam. Deal with it."
286,Jim,"You cut more than you had to, didn't you?"
287,Jim,"Well, why did you do that? You work here, don't you want good insurance?"
288,Dwight,Don't need it. Never been sick. Perfect immune system.
289,Jim,"OK, well, if you've never been sick, then you don't have any antibodies."
290,Dwight,"I don't need them. Superior genes. I'm a Schrute. And superior brain power. Through concentration, I can raise and lower my cholesterol at will."
291,Pam,Why would you want to raise your cholesterol?
292,Dwight,So I can lower it.
293,Michael,"Ah, uh, I would love to, but I am really busy. Rain check?"
294,Michael,"Ah, what? Which memo?"
295,Pam,Dwight's health care memo. I told you about it.
296,Michael,Is it a good plan?
297,Dwight,It's a great plan. It saves the company a fortune.
298,Pam,"Michael, he made huge cuts."
299,Michael,"Cuts? What? Wow, Dwight, did you make cuts?"
300,Michael,"No, no , no, you know what? I said nothing specific because I was so busy. Why don't you go in there and find these people a plan that will work for them? OK?"
301,Dwight,I can handle that.
302,Michael,"OK? All right. Do we feel good? All right. Good. Plus, there's some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?"
303,Dwight,"OK, everyone. Gather round. Step forward. It has been brought to my attention that some of you are unhappy with my plan. So what I'd like you to do is to fill this out and write down any diseases you have that you might want covered and I'll see what I can do."
304,Jim,"OK, you know what Dwight? We can't write our diseases down for you because that's confidential."
305,Dwight,"OK, well, I didn't say to write your name down, did I? Fill it out, leave it anonymous. Or, don't write any disease down at all and it won't be covered. Sound fair? Good. I'll be in my office."
306,Michael,You know what? Come with me. We are going on a little mission. Operation Surprise.
307,Pam,Where are you going?
308,Michael,"Um, headed out. Part of my busy day, you know. Meetings.  Couldn't find the knob."
309,Michael,"So, basically, I want to do something nice for my employees. Atlantic City, OK? They have this thing where they send a bus, right, for free. Picks everybody up, you head down there, get to the hotel, room is comped, they give you a pile of chips, and your food, everything just kind of all-inclusive, free kind of weekend."
310,Michael,"Yeah, yeah, yeah. I did, so..."
311,Jim,Wait. What are you writing? Don't write Ebola or mad cow disease. Right? 'Cause I'm suffering from both.
312,Pam,I'm inventing new diseases.
313,Pam,"So, let's say my teeth turn to liquid and then, they drip down the back of my throat. What would you call that?"
314,Jim,I thought you said you were inventing diseases? That's spontaneous dental hydroplosion.
315,Michael," Calling you to ask you a little favoroonie my friend. Um, trying to give the troops around here a little bit of a boost. And I was thinking that maybe we could take them down to take a spin on your big ride."
316,Michael,Its says here that it's a 300ft drop.
317,Michael,So it's not a free fall?
318,Michael,"Uh, all right. Well, once you get down into the mine, what... you got laser tag or something?"
319,Michael,"OK, so I don't know what the surprise is. Am I worried? No. No way. See, I thrive on this. This is my world. This is improv. This is Whose Line is it Anyway?"
320,Dwight,"All right, who did this? I'm not mad. I just want to know who did it so I can punish them."
321,Jim,What are you talking about?
322,Dwight,"Uh, someone forged, uh, medical information and that is a felony."
323,Jim,"OK, whoa. 'Cause that is a pretty intense accusation. How do you know that they're fake?"
324,Dwight,"Uh, leprosy? Flesh eating bacteria. Hot-dog fingers. Government-created killer nanorobot infection."
325,Dwight,"You did this, didn't you?"
326,Dwight,"I know it was you. Fine. You know what? I'll have to interview each and every one of you until the perpetrator makes him or herself known. And until that time, there will be no health care coverage for any one!"
327,Dwight,"The problem, Jim, is that people who are really suffering from a medical condition won't receive the care they need, because someone in this office is coming up with all this ridiculous stuff.  ""Count Choculitis"""
328,Dwight,Why did you write that down Jim? Is it because you know I love Count Chocula?
329,Dwight,I think you need to confess...
330,Dwight,What are you doing? Those are my keys.
331,Dwight,Jim! Damnit! No! Jim! Let me out! Jim! Let... 
332,Dwight,Let me out or you're fired.
333,Jim,"No, you can't fire me."
334,Dwight,Yes I can. I'm manager for the day. Clean out your desk.
